,fecha,cod_cliente,cod_art,_canal_cliente,venta,kilos
96288,2023-01-05,123471ykua_sati,81ykua_sati,Carnicería & Pollería,2601,8
96289,2023-01-17,123471ykua_sati,81ykua_sati,Carnicería & Pollería,2601,8
96290,2023-01-18,127658ykua_sati,81ykua_sati,Cadenas,3034,8
96291,2023-01-19,127907ykua_sati,81ykua_sati,Supermercados Independientes,2340,8
96292,2023-02-04,127907ykua_sati,81ykua_sati,Supermercados Independientes,2340,8
96293,2023-02-14,123471ykua_sati,81ykua_sati,Carnicería & Pollería,2601,8
96294,2023-05-30,130485ykua_sati,113ykua_sati,Supermercados Independientes,729,3
96295,2023-05-30,130026ykua_sati,81ykua_sati,Grupo de Compras,2601,8
96296,2023-07-11,121608ykua_sati,85ykua_sati,Grupo de Compras,1159,5
96297,2023-07-27,131930ykua_sati,85ykua_sati,Consumidor Final,734,3
96298,2023-07-27,130745ykua_sati,81ykua_sati,Grupo de Compras,2065,8
96299,2023-07-27,129748ykua_sati,81ykua_sati,Grupo de Compras,2065,8
96300,2023-08-05,131651ykua_sati,81ykua_sati,Grupo de Compras,2065,8
96301,2023-08-08,131651ykua_sati,81ykua_sati,Grupo de Compras,2065,8
96302,2023-08-17,132450ykua_sati,85ykua_sati,Grupo de Compras,879,4
96303,2023-08-29,131064ykua_sati,85ykua_sati,Minorista,1180,5
96304,2023-09-07,131878ykua_sati,85ykua_sati,Consumidor Final,734,3
96305,2023-09-12,127441ykua_sati,85ykua_sati,Minorista,799,3
96306,2023-10-19,127658ykua_sati,81ykua_sati,Cadenas,2530,7
96307,2023-10-25,126017ykua_sati,85ykua_sati,Grupo de Compras,1180,5
96308,2023-11-09,131651ykua_sati,81ykua_sati,Grupo de Compras,1957,8
96309,2023-11-09,130745ykua_sati,81ykua_sati,Grupo de Compras,1957,8
96310,2023-11-11,129910ykua_sati,81ykua_sati,Casa de Congelados,2288,8
96311,2023-11-30,132172ykua_sati,85ykua_sati,Consumidor Final,551,3
96312,2023-12-01,131930ykua_sati,85ykua_sati,Consumidor Final,551,3
96313,2023-12-12,121401ykua_sati,81ykua_sati,Cadenas,2183,8
96314,2023-12-19,126938ykua_sati,85ykua_sati,Consumidor Final,551,3
96315,2024-01-15,127658ykua_sati,81ykua_sati,Cadenas,3034,8
96316,2024-01-18,131878ykua_sati,85ykua_sati,Consumidor Final,551,3
96317,2024-02-01,130016ykua_sati,81ykua_sati,Grupo de Compras,2174,8
96318,2024-02-06,121401ykua_sati,81ykua_sati,Cadenas,2183,8
96319,2024-02-08,127363ykua_sati,85ykua_sati,Consumidor Final,735,3
96320,2024-02-12,132172ykua_sati,85ykua_sati,Consumidor Final,551,3
96321,2024-02-14,131651ykua_sati,81ykua_sati,Grupo de Compras,2174,8
96322,2024-03-11,132243ykua_sati,85ykua_sati,Grupo de Compras,1185,5
96323,2023-01-05,123471ykua_sati,96ykua_sati,Carnicería & Pollería,3947,13
96324,2023-05-30,121901ykua_sati,96ykua_sati,Cadenas,3267,13
96325,2023-08-10,131597ykua_sati,96ykua_sati,HORECA,3178,13
96326,2023-08-10,130449ykua_sati,96ykua_sati,HORECA,3178,13
96327,2023-08-11,123426ykua_sati,96ykua_sati,HORECA,3178,13
96328,2023-08-11,123178ykua_sati,96ykua_sati,HORECA,3178,13
96329,2023-08-11,124972ykua_sati,96ykua_sati,HORECA,3178,13
96330,2023-08-11,124065ykua_sati,96ykua_sati,HORECA,3178,13
96331,2023-08-11,126841ykua_sati,96ykua_sati,HORECA,3178,13
96332,2023-08-11,123024ykua_sati,96ykua_sati,HORECA,3178,13
96333,2023-08-11,131620ykua_sati,96ykua_sati,HORECA,3178,13
96334,2023-08-12,126243ykua_sati,96ykua_sati,HORECA,3178,13
96335,2023-08-14,126492ykua_sati,96ykua_sati,Minorista,3189,13
96336,2023-08-14,127325ykua_sati,96ykua_sati,Grupo de Compras,3224,13
96337,2023-08-15,123024ykua_sati,96ykua_sati,HORECA,3178,13
96338,2023-08-15,131729ykua_sati,96ykua_sati,HORECA,3178,13
96339,2023-08-18,130045ykua_sati,96ykua_sati,HORECA,3178,13
96340,2023-08-18,123024ykua_sati,96ykua_sati,HORECA,3178,13
96341,2023-08-18,130449ykua_sati,96ykua_sati,HORECA,3178,13
96342,2023-08-19,123024ykua_sati,96ykua_sati,HORECA,3178,13
96343,2023-08-19,129910ykua_sati,96ykua_sati,Casa de Congelados,3394,13
96344,2023-08-19,123076ykua_sati,96ykua_sati,HORECA,3178,13
96345,2023-08-19,129566ykua_sati,96ykua_sati,HORECA,3178,13
96346,2023-08-19,132187ykua_sati,96ykua_sati,HORECA,3178,13
96347,2023-08-19,123426ykua_sati,96ykua_sati,HORECA,3178,13
96348,2023-08-22,123039ykua_sati,96ykua_sati,HORECA,3178,13
96349,2023-08-23,123054ykua_sati,96ykua_sati,HORECA,3178,13
96350,2023-08-23,123024ykua_sati,96ykua_sati,HORECA,3178,13
96351,2023-08-24,132187ykua_sati,96ykua_sati,HORECA,3178,13
96352,2023-08-24,123426ykua_sati,96ykua_sati,HORECA,3178,13
96353,2023-08-26,132187ykua_sati,96ykua_sati,HORECA,3178,13
96354,2023-08-28,127325ykua_sati,96ykua_sati,Grupo de Compras,0,13
96355,2023-08-28,124972ykua_sati,96ykua_sati,HORECA,3178,13
96356,2023-08-29,130449ykua_sati,96ykua_sati,HORECA,3178,13
96357,2023-08-30,127112ykua_sati,96ykua_sati,HORECA,3178,13
96358,2023-09-01,123426ykua_sati,96ykua_sati,HORECA,3178,13
96359,2023-09-01,124354ykua_sati,96ykua_sati,HORECA,3178,13
96360,2023-09-02,123076ykua_sati,96ykua_sati,HORECA,3178,13
96361,2023-09-02,132187ykua_sati,96ykua_sati,HORECA,3178,13
96362,2023-09-04,123082ykua_sati,96ykua_sati,HORECA,3947,13
96363,2023-09-05,123426ykua_sati,96ykua_sati,HORECA,3178,13
96364,2023-09-06,130449ykua_sati,96ykua_sati,HORECA,3178,13
96365,2023-09-07,130610ykua_sati,96ykua_sati,HORECA,3178,13
96366,2023-09-08,126841ykua_sati,96ykua_sati,HORECA,3178,13
96367,2023-09-09,123426ykua_sati,96ykua_sati,HORECA,3178,13
96368,2023-09-12,130757ykua_sati,96ykua_sati,Consumidor Final,3947,13
96369,2023-09-13,126243ykua_sati,96ykua_sati,HORECA,3178,13
96370,2023-09-14,129910ykua_sati,96ykua_sati,Casa de Congelados,3394,13
96371,2023-09-14,132187ykua_sati,96ykua_sati,HORECA,3178,13
96372,2023-09-15,123426ykua_sati,96ykua_sati,HORECA,3178,13
96373,2023-09-18,124972ykua_sati,96ykua_sati,HORECA,3178,13
96374,2023-09-19,130449ykua_sati,96ykua_sati,HORECA,3178,13
96375,2023-09-19,123426ykua_sati,96ykua_sati,HORECA,3178,13
96376,2023-09-20,123054ykua_sati,96ykua_sati,HORECA,3178,13
96377,2023-09-22,124972ykua_sati,96ykua_sati,HORECA,3178,13
96378,2023-09-23,123426ykua_sati,96ykua_sati,HORECA,3178,13
96379,2023-09-26,130045ykua_sati,96ykua_sati,HORECA,3178,13
96380,2023-09-27,130449ykua_sati,96ykua_sati,HORECA,3178,13
96381,2023-12-12,121401ykua_sati,96ykua_sati,Cadenas,3314,13
96382,2023-12-26,121401ykua_sati,96ykua_sati,Cadenas,3314,13
96383,2023-12-26,121401ykua_sati,96ykua_sati,Cadenas,3314,13
96384,2023-12-27,121401ykua_sati,96ykua_sati,Cadenas,3314,13
96385,2024-01-09,121901ykua_sati,96ykua_sati,Cadenas,3122,13
96386,2024-01-23,121401ykua_sati,96ykua_sati,Cadenas,3314,13
96387,2024-02-06,121401ykua_sati,96ykua_sati,Cadenas,3314,13
96388,2024-03-11,121401ykua_sati,96ykua_sati,Cadenas,3049,13
96389,2023-01-07,126957ykua_sati,112ykua_sati,HORECA,861,7
96390,2023-01-07,126866ykua_sati,112ykua_sati,Distribuidores,801,7
96391,2023-01-18,126866ykua_sati,112ykua_sati,Distribuidores,801,7
96392,2023-01-20,129795ykua_sati,112ykua_sati,Distribuidores,801,7
96393,2023-02-06,126866ykua_sati,112ykua_sati,Distribuidores,801,7
96394,2023-02-15,126957ykua_sati,112ykua_sati,HORECA,861,7
96395,2023-03-03,126866ykua_sati,112ykua_sati,Distribuidores,801,7
96396,2023-03-11,126957ykua_sati,112ykua_sati,HORECA,861,7
96397,2023-03-20,126865ykua_sati,112ykua_sati,Consumidor Final,801,7
96398,2023-04-06,126951ykua_sati,112ykua_sati,Consumidor Final,801,7
96399,2023-04-26,126957ykua_sati,112ykua_sati,HORECA,861,7
96400,2023-05-03,126957ykua_sati,112ykua_sati,HORECA,861,7
96401,2023-06-14,126957ykua_sati,112ykua_sati,HORECA,861,7
96402,2023-07-04,132241ykua_sati,112ykua_sati,HORECA,1157,7
96403,2023-07-22,132241ykua_sati,112ykua_sati,HORECA,1157,7
96404,2023-07-26,126957ykua_sati,112ykua_sati,HORECA,861,7
96405,2023-07-29,125181ykua_sati,112ykua_sati,Grupo de Compras,926,7
96406,2023-07-29,123535ykua_sati,112ykua_sati,Grupo de Compras,926,7
96407,2023-07-29,123443ykua_sati,112ykua_sati,Grupo de Compras,926,7
96408,2023-07-31,127100ykua_sati,112ykua_sati,Grupo de Compras,926,7
96409,2023-07-31,132243ykua_sati,112ykua_sati,Grupo de Compras,1029,7
96410,2023-08-02,125221ykua_sati,112ykua_sati,Grupo de Compras,926,7
96411,2023-08-08,128612ykua_sati,112ykua_sati,Grupo de Compras,926,7
96412,2023-08-12,123535ykua_sati,112ykua_sati,Grupo de Compras,926,7
96413,2023-08-14,129364ykua_sati,112ykua_sati,Grupo de Compras,926,7
96414,2023-08-14,128612ykua_sati,112ykua_sati,Grupo de Compras,926,7
96415,2023-08-16,126957ykua_sati,112ykua_sati,HORECA,861,7
96416,2023-08-16,125221ykua_sati,112ykua_sati,Grupo de Compras,926,7
96417,2023-08-18,132241ykua_sati,112ykua_sati,HORECA,1157,7
96418,2023-08-29,129364ykua_sati,112ykua_sati,Grupo de Compras,823,7
96419,2023-09-06,132480ykua_sati,112ykua_sati,Distribuidores,801,7
96420,2023-09-20,126957ykua_sati,112ykua_sati,HORECA,861,7
