,fecha,cod_cliente,cod_art,_canal_cliente,venta,kilos
93173,2022-11-07,875recoleta216671080015,715recoleta,Minorista,1410,7
93174,2022-11-07,1326recoleta215404520015,715recoleta,Minorista,1410,7
93175,2022-11-11,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93176,2022-11-28,895recoleta211350840014,715recoleta,Minorista,1410,7
93177,2022-11-28,875recoleta216671080015,715recoleta,Minorista,1410,7
93178,2022-11-29,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93179,2022-12-06,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93180,2022-12-12,875recoleta216671080015,715recoleta,Minorista,1410,7
93181,2022-12-12,1761recoleta210413580016,715recoleta,Minorista,1410,7
93182,2022-12-13,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93183,2023-01-25,1646recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93184,2023-01-30,875recoleta216671080015,715recoleta,Minorista,1410,7
93185,2023-02-13,1761recoleta210413580016,715recoleta,Minorista,1410,7
93186,2023-02-25,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93187,2023-02-27,875recoleta216671080015,715recoleta,Minorista,1410,7
93188,2023-03-11,1646recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93189,2023-03-14,895recoleta211350840014,715recoleta,Minorista,1410,7
93190,2023-03-16,1326recoleta215404520015,715recoleta,Minorista,1410,7
93191,2023-03-27,1326recoleta215404520015,715recoleta,Minorista,1410,7
93192,2023-04-03,875recoleta216671080015,715recoleta,Minorista,1410,7
93193,2023-04-03,1761recoleta210413580016,715recoleta,Minorista,1410,7
93194,2023-04-13,1646recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93195,2023-04-14,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93196,2023-05-12,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93197,2023-05-15,875recoleta216671080015,715recoleta,Minorista,1410,7
93198,2023-06-09,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93199,2023-08-01,1761recoleta210413580016,715recoleta,Minorista,1410,7
93200,2023-08-02,1646recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93201,2023-08-03,1646recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93202,2023-08-03,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93203,2023-08-03,1recoleta18925721,715recoleta,Consumidor Final,1410,7
93204,2023-09-01,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93205,2023-09-02,1326recoleta215404520015,715recoleta,Minorista,1410,7
93206,2023-09-16,1646recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93207,2023-10-12,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93208,2023-11-07,1646recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93209,2023-11-13,1761recoleta210413580016,715recoleta,Minorista,1410,7
93210,2023-12-04,1761recoleta210413580016,715recoleta,Minorista,1410,7
93211,2023-12-07,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93212,2024-01-08,1761recoleta210413580016,715recoleta,Minorista,1410,7
93213,2024-01-11,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93214,2024-01-15,821recoleta216590700013,715recoleta,Minorista,1410,7
93215,2024-02-01,1326recoleta215404520015,715recoleta,Minorista,1410,7
93216,2024-02-03,1649recoleta215404520015,715recoleta,Supermercados Independientes,1410,7
93217,2024-02-05,1761recoleta210413580016,715recoleta,Minorista,1410,7
93218,2024-02-08,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93219,2024-02-22,1045recoleta210278040012,715recoleta,Supermercados Independientes,1410,7
93220,2022-11-01,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93221,2022-11-02,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93222,2022-11-04,880/1recoleta218531810017,715recoleta,Ecommerce,1410,7
93223,2022-11-04,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93224,2022-11-04,880/10recoleta218531810017,715recoleta,Ecommerce,1410,7
93225,2022-11-07,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93226,2022-11-09,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93227,2022-11-09,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93228,2022-11-14,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93229,2022-11-14,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93230,2022-11-15,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93231,2022-11-18,880/6recoleta218531810017,715recoleta,Ecommerce,1410,7
93232,2022-11-21,880/10recoleta218531810017,715recoleta,Ecommerce,1410,7
93233,2022-11-21,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93234,2022-11-21,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93235,2022-11-23,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93236,2022-11-23,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93237,2022-11-25,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93238,2022-11-29,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93239,2022-11-30,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93240,2022-12-01,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93241,2022-12-01,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93242,2022-12-01,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93243,2022-12-02,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93244,2022-12-02,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93245,2022-12-05,880/10recoleta218531810017,715recoleta,Ecommerce,1410,7
93246,2022-12-07,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93247,2022-12-09,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93248,2022-12-10,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93249,2022-12-12,880/6recoleta218531810017,715recoleta,Ecommerce,1410,7
93250,2022-12-12,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93251,2022-12-12,880/8recoleta218531810017,715recoleta,Ecommerce,1410,7
93252,2022-12-13,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93253,2022-12-14,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93254,2022-12-19,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93255,2022-12-21,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93256,2022-12-21,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93257,2022-12-21,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93258,2022-12-23,880/8recoleta218531810017,715recoleta,Ecommerce,1410,7
93259,2022-12-26,880/10recoleta218531810017,715recoleta,Ecommerce,1410,7
93260,2022-12-27,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93261,2023-01-02,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93262,2023-01-04,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93263,2023-01-07,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93264,2023-01-09,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93265,2023-01-10,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93266,2023-01-11,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93267,2023-01-13,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93268,2023-01-16,880/6recoleta218531810017,715recoleta,Ecommerce,1410,7
93269,2023-01-16,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93270,2023-01-16,880/10recoleta218531810017,715recoleta,Ecommerce,1410,7
93271,2023-01-20,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93272,2023-01-23,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93273,2023-01-25,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93274,2023-01-26,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93275,2023-01-27,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93276,2023-01-28,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93277,2023-02-01,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93278,2023-02-01,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93279,2023-02-03,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93280,2023-02-03,880/6recoleta218531810017,715recoleta,Ecommerce,1410,7
93281,2023-02-06,880/10recoleta218531810017,715recoleta,Ecommerce,1410,7
93282,2023-02-06,880/1recoleta218531810017,715recoleta,Ecommerce,1410,7
93283,2023-02-06,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93284,2023-02-07,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93285,2023-02-08,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93286,2023-02-10,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93287,2023-02-13,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93288,2023-02-14,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93289,2023-02-17,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93290,2023-02-17,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93291,2023-02-22,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93292,2023-02-25,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93293,2023-02-27,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93294,2023-02-27,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93295,2023-02-27,880/6recoleta218531810017,715recoleta,Ecommerce,1410,7
93296,2023-03-01,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93297,2023-03-03,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93298,2023-03-03,880/11recoleta218531810017,715recoleta,Ecommerce,1410,7
93299,2023-03-03,880/10recoleta218531810017,715recoleta,Ecommerce,1410,7
93300,2023-03-07,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93301,2023-03-08,880/4recoleta218531810017,715recoleta,Ecommerce,1410,7
93302,2023-03-10,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
93303,2023-03-10,880/8recoleta218531810017,715recoleta,Ecommerce,1410,7
93304,2023-03-15,880/5recoleta218531810017,715recoleta,Ecommerce,1410,7
93305,2023-03-15,880/7recoleta218531810017,715recoleta,Ecommerce,1410,7
93306,2023-03-17,880/3recoleta218531810017,715recoleta,Ecommerce,1410,7
93307,2023-03-17,880/12recoleta218531810017,715recoleta,Ecommerce,1410,7
