customer_code,Days since last sales,Customer age in days,Recencia,Nro Sku,Frecuency,Indicator key
875recoleta216671080015,35.0,98.0,90.0,0.0,22.0,1.0
1326recoleta215404520015,98.0,98.0,94.0,0.0,100.0,17.0
1045recoleta210278040012,100.0,100.0,92.5,100.0,100.0,34.0
895recoleta211350840014,95.5,98.0,93.0,100.0,87.0,5.0
1761recoleta210413580016,96.0,97.0,89.0,0.0,55.0,19.0
1646recoleta215404520015,59.5,88.0,76.5,50.0,31.5,17.0
1recoleta18925721,100.0,100.0,39.0,0.0,0.0,82.0
821recoleta216590700013,84.0,54.0,0.0,0.0,0.0,0.0
1649recoleta215404520015,69.5,91.0,61.5,100.0,18.0,24.0
880/5recoleta218531810017,82.5,100.0,77.5,100.0,55.5,44.5
880/4recoleta218531810017,45.0,100.0,100.0,0.0,100.0,80.0
880/1recoleta218531810017,0.0,99.0,51.0,0.0,18.5,12.5
880/3recoleta218531810017,55.0,100.0,89.5,50.0,69.5,59.0
880/10recoleta218531810017,79.5,99.0,74.5,0.0,48.0,39.5
880/11recoleta218531810017,56.5,98.0,86.5,0.0,61.5,55.0
880/7recoleta218531810017,100.0,100.0,83.5,0.0,69.5,69.0
880/6recoleta218531810017,74.5,96.5,62.5,0.0,36.5,31.0
880/12recoleta218531810017,51.5,98.0,95.5,0.0,88.5,100.0
880/8recoleta218531810017,88.0,89.0,12.5,0.0,17.0,11.0
880/9recoleta218531810017,44.5,1.0,0.0,0.0,0.0,0.0
159recoleta213637760012,84.0,98.0,67.5,0.0,11.0,1.0
1758recoleta211412910010,98.0,97.5,92.0,50.0,77.0,3.0
808recoleta211947160017,100.0,97.5,79.0,0.0,22.0,2.0
1686recoleta210156590018,65.0,96.0,83.5,50.0,50.0,16.0
77recoleta213725260011,93.5,96.5,82.0,0.0,27.5,1.0
1625recoleta210343900017,100.0,100.0,81.0,0.0,14.0,1.0
344recoleta211428340014,96.0,96.0,74.0,50.0,20.0,3.0
102/1recoleta216333990012,97.5,94.5,71.5,0.0,8.0,0.0
88recoleta215294240013,100.0,93.0,90.0,0.0,55.0,3.0
278recoleta210864860013,0.0,100.0,0.0,0.0,0.0,0.0
933recoleta212685770016,68.0,84.0,36.0,0.0,0.0,0.0
1030recoleta214423860014,46.0,82.0,81.0,0.0,5.5,1.0
362recoleta214861470012,91.0,96.5,90.0,50.0,60.0,9.0
83recoleta212763440015,97.5,100.0,84.5,0.0,33.0,3.0
134recoleta215030420017,1.5,89.0,78.5,100.0,22.5,1.0
184recoleta211144380011,82.0,59.0,72.0,0.0,10.5,3.0
671recoleta214003470019,93.0,49.0,44.5,0.0,0.0,0.0
90recoleta215539950018,96.0,47.5,61.5,0.0,0.0,0.0
129recoleta210410440019,95.0,95.0,87.5,0.0,50.0,4.0
183recoleta214886680010,92.0,49.0,90.0,0.0,30.0,3.0
1005recoleta216793490013,33.0,96.0,0.0,50.0,4.0,0.0
