customer_code,Days since last sales,Customer age in days,Recencia,Nro Sku,Frecuency,Indicator key
123471ykua_sati,88.0,100.0,0.0,0.0,41.5,20.0
127658ykua_sati,100.0,100.0,97.5,0.0,100.0,100.0
127907ykua_sati,47.0,97.0,96.5,0.0,66.0,100.0
130485ykua_sati,99.0,97.0,92.0,0.0,49.5,29.0
130026ykua_sati,74.5,75.0,54.0,0.0,4.0,1.0
121608ykua_sati,93.5,94.0,82.0,0.0,25.0,6.5
131930ykua_sati,92.5,87.5,81.5,0.0,16.5,3.0
130745ykua_sati,96.5,97.0,78.0,0.0,25.0,7.0
129748ykua_sati,87.0,100.0,91.0,0.0,58.0,24.0
131651ykua_sati,97.0,90.5,86.5,0.0,37.0,9.5
132450ykua_sati,99.0,83.0,50.0,0.0,8.0,3.0
131064ykua_sati,76.0,59.0,84.0,0.0,0.0,3.5
131878ykua_sati,97.5,84.0,78.5,0.0,11.0,3.0
127441ykua_sati,83.0,73.0,76.0,0.0,0.0,3.0
126017ykua_sati,88.0,88.5,84.0,0.0,25.0,8.0
129910ykua_sati,66.0,0.0,81.5,0.0,33.0,8.0
132172ykua_sati,92.5,87.0,93.0,0.0,50.0,5.0
121401ykua_sati,100.0,14.0,95.5,0.0,10.0,19.0
126938ykua_sati,86.0,93.0,93.5,0.0,50.0,14.0
130016ykua_sati,87.0,96.5,84.5,0.0,33.0,7.0
127363ykua_sati,97.5,86.0,92.5,0.0,50.0,9.0
132243ykua_sati,98.0,47.0,90.5,0.0,29.0,7.0
121901ykua_sati,97.0,99.0,89.5,0.0,17.0,31.0
131597ykua_sati,47.5,42.0,16.5,0.0,0.0,
130449ykua_sati,99.0,89.0,98.0,49.5,40.5,24.0
123426ykua_sati,100.0,98.0,100.0,49.5,67.0,40.0
123178ykua_sati,99.0,93.0,98.0,49.5,31.5,16.5
124972ykua_sati,96.0,100.0,96.5,49.5,19.5,15.0
124065ykua_sati,48.0,41.5,16.5,0.0,0.0,
126841ykua_sati,97.0,97.0,95.0,49.5,13.0,9.0
123024ykua_sati,98.0,100.0,98.0,49.5,45.5,26.0
131620ykua_sati,100.0,100.0,98.0,49.5,47.5,23.0
126243ykua_sati,80.0,88.5,98.0,49.5,26.0,15.0
126492ykua_sati,49.0,44.0,0.0,0.0,4.0,
127325ykua_sati,48.5,44.0,82.5,0.0,0.0,2.0
131729ykua_sati,49.0,40.5,16.5,0.0,0.0,
130045ykua_sati,98.0,44.0,93.5,49.5,5.0,4.0
123076ykua_sati,100.0,89.0,100.0,49.5,100.0,58.0
129566ykua_sati,49.5,39.5,16.5,0.0,0.0,
132187ykua_sati,96.0,81.0,97.0,83.0,22.0,29.0
123039ykua_sati,50.0,39.0,16.5,0.0,0.0,
123054ykua_sati,100.0,88.5,97.5,49.5,29.0,16.0
