,customer_code,Days since last sales,Customer age in days,Recencia,Nro Sku,Frecuency,Indicator key
0,44059discarvi150746660017,97.0,85.0,98.0,49.5,26.5,16.0
1,25030discarvi,100.0,97.0,98.0,31.5,35.0,7.0
2,29137discarvi32222775,100.0,98.0,98.0,49.5,48.0,15.0
3,21276discarvi212708320011,100.0,100.0,97.5,22.5,31.5,6.0
4,17053discarvi216386800013,98.0,97.0,98.0,43.5,44.5,14.0
5,17143discarvi216002960019,100.0,100.0,98.0,70.5,36.5,13.0
6,19003discarvi217665110011,100.0,100.0,98.0,58.5,44.5,20.0
7,17224discarvi,98.0,100.0,98.0,49.5,44.5,10.0
8,17058discarvi,97.0,97.0,97.0,37.5,27.5,6.0
9,18140discarvi,100.0,100.0,97.5,46.5,29.0,6.0
10,31022discarvi217124690014,100.0,100.0,98.0,49.5,33.0,9.0
11,167discarvi,100.0,100.0,97.5,82.5,30.5,9.0
12,25016discarvi,100.0,100.0,98.0,58.5,46.5,15.0
13,41029discarvi218274800018,98.0,100.0,94.0,19.5,10.0,1.0
14,31541discarvi218478650014,96.0,100.0,93.0,25.5,8.5,1.0
15,31199discarvi,83.0,97.5,97.5,28.5,26.0,4.0
16,17217discarvi,97.0,90.0,97.0,37.5,24.5,7.0
17,44047discarvi,100.0,97.5,98.0,58.5,47.5,32.0
18,44113discarvi218319310014,100.0,42.0,98.0,28.5,14.0,3.0
19,170discarvi,96.0,58.0,95.5,22.5,8.5,1.0
20,46169discarvi218052880015,100.0,92.0,100.0,9.0,100.0,38.0
21,17019discarvi215317890019,100.0,100.0,100.0,49.5,87.0,51.0
22,29161discarvi,100.0,100.0,98.0,28.5,42.5,7.0
23,18124discarvi,96.0,95.5,95.0,31.5,12.0,2.0
24,2635discarvi,61.0,86.0,79.0,12.0,1.0,0.0
25,29154discarvi,100.0,96.0,98.0,34.5,53.5,11.0
26,4087discarvi215755130015,99.0,100.0,97.5,55.5,29.5,6.0
27,44008discarvi,100.0,98.0,98.0,58.5,35.5,26.0
28,29627discarvi218940100016,100.0,83.0,97.5,19.5,26.0,4.0
29,17054discarvi,100.0,100.0,97.0,49.5,28.5,10.0
30,17025discarvi215270190016,100.0,95.0,93.0,31.5,8.5,1.0
31,44116discarvi219306120015,96.0,40.0,98.0,9.0,22.5,4.0
32,18098discarvi,94.0,100.0,97.0,49.5,27.0,8.5
33,44115discarvi219346520014,100.0,41.0,98.0,31.5,15.5,35.0
34,17017discarvi,92.0,100.0,96.0,55.5,17.5,3.0
35,41158discarvi219285340011,100.0,77.0,98.0,25.5,27.0,5.0
36,18094discarvi216826730018,100.0,99.0,98.0,19.5,34.0,7.0
37,20152discarvi,97.0,95.0,97.0,37.5,23.0,4.0
38,41245discarvi53326485,96.0,1.0,6.0,0.0,0.0,
39,43032discarvi38758821,100.0,74.0,96.0,34.5,12.5,2.0
40,46160discarvi213637360014,100.0,92.0,89.5,21.0,54.0,3.0
41,46239discarvi216527340013,100.0,70.0,91.5,10.5,52.0,6.0
42,29520discarvi217370370012,97.5,96.5,92.5,100.0,78.0,18.0
43,46185discarvi214853480012,93.0,87.0,73.5,31.5,17.0,1.0
44,24279discarvi216590700013,100.0,100.0,92.5,53.5,85.0,21.0
45,17262discarvi218353040016,98.0,100.0,92.5,74.5,76.0,15.0
46,46161discarvi218551000010,96.5,95.0,77.5,21.0,24.0,3.5
47,24036discarvi211738380014,100.0,96.5,92.5,78.0,83.0,42.0
48,46255discarvi212455710011,100.0,61.0,96.5,64.0,100.0,23.0
49,46264discarvi219156120015,98.0,44.5,89.5,57.0,25.0,5.0
50,29179discarvi218574410010,100.0,100.0,94.0,56.0,72.0,4.0
51,46158discarvi218485390014,63.0,95.5,85.5,37.0,20.0,0.0
52,29522discarvi217642060018,100.0,98.0,89.0,37.0,41.0,3.0
53,44105discarvi219345580013,100.0,52.0,85.5,37.0,16.0,0.0
54,24249discarvi216468960014,100.0,98.0,92.0,80.0,56.0,9.0
55,46288discarvi219563740012,96.0,18.5,75.5,34.0,2.0,0.0
56,24272discarvi218860850019,100.0,96.5,90.5,62.0,52.0,6.0
57,46296discarvi216894120017,96.0,11.5,59.0,40.0,0.5,0.0
58,46122discarvi219030920012,100.0,97.0,79.0,65.0,21.0,1.0
59,29172discarvi217699950012,98.0,100.0,85.0,92.5,83.0,20.0
60,31203discarvi214827900018,100.0,100.0,96.5,100.0,100.0,86.0
61,46016discarvi216784910013,100.0,95.0,82.5,87.5,67.0,22.0
62,17291discarvi213824470014,91.0,93.5,62.0,43.0,100.0,44.0
63,44017discarvi218508520016,98.0,93.5,86.0,38.0,84.0,12.0
64,31156discarvi211911600017,100.0,98.0,87.5,37.5,75.0,18.0
65,12251discarvi215223790010,100.0,98.0,92.5,40.0,80.0,20.0
66,46262discarvi217892770012,95.0,49.0,33.5,0.0,2.5,0.0
67,29610discarvi218932670011,100.0,87.0,96.5,100.0,55.0,3.0
68,45065discarvi216198590015,100.0,100.0,93.5,96.0,51.5,43.0
69,41122discarvi,67.0,98.0,82.5,100.0,25.0,7.0
70,45007discarvi210337580014,95.0,98.0,86.0,23.5,13.5,0.0
71,29620discarvi214700770014,100.0,80.5,97.5,0.0,100.0,100.0
72,46178discarvi218773310016,100.0,90.0,97.5,15.0,77.5,4.0
73,27028discarvi215461010012,97.0,68.0,68.5,0.0,10.0,0.0
74,29655discarvi,97.0,47.0,94.0,87.5,35.5,19.0
75,30031discarvi020359120010,94.0,67.0,62.5,35.0,27.0,3.0
76,44073discarvi211867370015,100.0,83.0,87.5,0.0,42.5,7.0
77,44078discarvi080269170012,83.0,79.0,85.5,0.0,30.0,2.0
78,44060discarvi020482700011,95.5,69.0,95.0,75.5,27.5,1.0
79,12397discarvi212012570016,100.0,85.0,89.5,25.0,55.0,37.0
80,31542discarvi,97.5,100.0,84.5,8.0,12.0,1.0
81,41095discarvi218486890010,100.0,96.0,95.5,79.0,55.0,10.0
82,46065discarvi214378790016,92.0,46.0,91.0,7.5,8.5,0.0
83,44094discarvi219335030010,100.0,54.0,90.0,53.0,33.0,12.0
84,17430discarvi213720110011,100.0,100.0,94.0,46.0,71.5,38.0
85,29652discarvi217517850017,100.0,51.0,94.5,66.5,40.0,81.0
86,44082discarvi55998121,67.0,76.0,89.5,7.5,8.5,0.0
87,22176discarvi,97.0,97.0,93.5,89.0,61.5,25.0
88,29630discarvi216967730014,98.0,81.5,92.5,98.0,47.5,21.0
89,29658discarvi212088290014,62.5,40.0,90.5,0.0,5.0,0.0
90,12259discarvi212762880011,100.0,100.0,57.5,20.0,37.0,3.0
91,29105discarvi218952080015,100.0,90.0,95.0,91.5,73.0,13.0
92,17376discarvi212667900019,99.0,75.5,92.5,46.5,69.0,50.0
